Algorithm,Size,Type,Time_ns,Comparisons,MaxDepth,IsCorrect
MergeSort,1000,Random,415600,7173,8,true
QuickSort,1000,Random,734300,11999,6,true
DeterministicSelect,1000,Random,441000,7541,9,true
MergeSort,1000,Sorted,262300,4236,8,true
QuickSort,1000,Sorted,160700,10719,6,true
DeterministicSelect,1000,Sorted,182500,5551,11,true
MergeSort,1000,Reverse-sorted,97200,3305,8,true
QuickSort,1000,Reverse-sorted,135600,11943,6,true
DeterministicSelect,1000,Reverse-sorted,46000,7782,10,true
MergeSort,1000,Duplicate-heavy,93500,6956,8,true
QuickSort,1000,Duplicate-heavy,41800,3739,2,true
DeterministicSelect,1000,Duplicate-heavy,266400,5316,4,true
ClosestPair,1000,RandomPoints,6160800,509267,9,true
MergeSort,10000,Random,3187300,105089,11,true
QuickSort,10000,Random,728100,161494,9,true
DeterministicSelect,10000,Random,540200,81119,12,true
MergeSort,10000,Sorted,1445200,59248,11,true
QuickSort,10000,Sorted,596300,158511,9,true
DeterministicSelect,10000,Sorted,182400,57092,12,true
MergeSort,10000,Reverse-sorted,210000,50220,11,true
QuickSort,10000,Reverse-sorted,638800,156553,8,true
DeterministicSelect,10000,Reverse-sorted,257100,78980,11,true
MergeSort,10000,Duplicate-heavy,2504900,101711,11,true
QuickSort,10000,Duplicate-heavy,153400,33954,2,true
DeterministicSelect,10000,Duplicate-heavy,251200,53771,4,true
ClosestPair,10000,RandomPoints,13308700,132651,13,true
MergeSort,100000,Random,8018400,1358721,14,true
QuickSort,100000,Random,10241500,1955037,11,true
DeterministicSelect,100000,Random,4386000,831062,15,true
MergeSort,100000,Sorted,1684100,744016,14,true
QuickSort,100000,Sorted,4409300,1934748,10,true
DeterministicSelect,100000,Sorted,1606600,587374,15,true
MergeSort,100000,Reverse-sorted,3473800,685596,14,true
QuickSort,100000,Reverse-sorted,4657800,1885540,10,true
DeterministicSelect,100000,Reverse-sorted,1854700,800843,14,true
MergeSort,100000,Duplicate-heavy,3806600,1309250,14,true
QuickSort,100000,Duplicate-heavy,1223800,360016,2,true
DeterministicSelect,100000,Duplicate-heavy,1395200,308885,1,true
ClosestPair,100000,RandomPoints,219584100,1646940,16,true
